,idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
309,926694,8,Extremely happy,Good,,Every day,177.0,78.0,Male,1939
310,926709,3,9,Fair,,2-3 times a month,179.0,,Female,1981
311,926725,5,Extremely happy,Fair,,Once a week,168.0,70.0,Male,1971
312,926733,7,8,Fair,,Less than once a month,163.0,85.0,Female,1968
313,926759,4,7,Bad,,Never,168.0,66.0,Female,1953
314,926767,8,8,Very good,,2-3 times a month,173.0,65.0,Female,1953
315,926775,8,8,Good,20.0,Several times a week,189.0,75.0,Male,1989
316,926806,6,Extremely happy,Very good,,Several times a week,172.0,64.0,Female,1979
317,926814,4,1,Bad,,Once a week,162.0,80.0,Female,1977
318,926822,8,Extremely happy,Very good,,Several times a week,175.0,69.0,Male,1937
319,926848,8,9,Very good,15.0,Once a month,178.0,76.0,Male,1996
320,926872,8,Extremely happy,Good,,Once a week,155.0,58.0,Female,1973
321,926880,7,8,Very good,,Once a week,161.0,62.0,Female,1969
322,926898,5,6,Good,,Once a week,182.0,112.0,Male,1968
323,926903,9,9,Very good,,Every day,162.0,62.0,Female,1940
324,926911,8,8,Good,,2-3 times a month,184.0,79.0,Male,1960
325,926929,5,2,Good,15.0,Every day,169.0,57.0,Female,1957
326,926937,7,Extremely happy,Good,,Every day,168.0,74.0,Female,1942
327,926945,7,9,Fair,,Once a week,176.0,56.0,Female,1971
328,926953,Most people can be trusted,8,Good,,Once a month,184.0,73.0,Male,1940
329,926961,7,7,Very good,,Once a week,172.0,51.0,Female,1998
330,926979,7,9,Very good,,Once a week,183.0,84.0,Male,1992
331,926987,8,9,Very good,,Several times a week,162.0,64.0,Female,1950
332,926995,8,7,Very good,10.0,Once a week,178.0,95.0,Male,1986
333,927006,7,6,Bad,,Less than once a month,167.0,72.0,Female,1967
334,927048,7,Extremely happy,Fair,,Less than once a month,160.0,75.0,Female,1985
335,927072,8,7,Good,,Several times a week,192.0,83.0,Male,1964
336,927098,9,8,Very good,,Several times a week,165.0,55.0,Female,1954
337,927111,4,4,Very bad,,Less than once a month,159.0,93.0,Female,1966
338,927137,Most people can be trusted,Extremely happy,Very good,18.0,2-3 times a month,175.0,90.0,Male,1955
339,927179,5,5,Good,,2-3 times a month,169.0,43.0,Female,1954
340,927187,3,9,Good,,Every day,162.0,65.0,Male,1927
341,927226,8,Extremely happy,Very good,,Less than once a month,182.0,87.0,Male,1974
342,927250,8,9,Very good,,Several times a week,169.0,65.0,Female,1977
343,927276,8,Extremely happy,Fair,,Several times a week,184.0,90.0,Male,1953
344,927284,Most people can be trusted,8,Good,,Less than once a month,155.0,60.0,Female,1922
345,927307,7,8,Good,7.0,Once a week,161.0,63.0,Female,1995
346,927323,8,Extremely happy,Fair,,Once a week,172.0,87.0,Female,1967
347,927331,5,Extremely happy,Very good,,Never,181.0,,Female,1981
348,927349,5,8,Very good,10.0,Once a week,188.0,79.0,Male,1974
349,927373,8,9,Good,,Less than once a month,172.0,72.0,Male,1987
350,927381,7,8,Fair,,Every day,173.0,82.0,Male,1995
351,927399,2,7,Fair,25.0,Once a week,180.0,83.0,Male,1981
352,927462,Most people can be trusted,Extremely happy,Fair,10.0,Less than once a month,172.0,68.0,Male,1959
353,927488,4,9,Fair,15.0,Less than once a month,168.0,74.0,Male,1981
354,927585,7,9,Good,,Once a month,175.0,84.0,Female,1986
355,927593,4,Extremely happy,Good,,Once a week,170.0,84.0,Male,1967
356,927608,5,8,Very good,,2-3 times a month,165.0,66.0,Female,1979
357,927616,Most people can be trusted,9,Very good,,2-3 times a month,188.0,101.0,Male,1941
358,927624,8,8,Good,,Once a week,160.0,69.0,Female,1961
359,927632,5,9,Good,,Never,158.0,64.0,Female,1976
360,927640,8,8,Very good,,Once a week,180.0,87.0,Female,1988
361,927739,7,Extremely happy,Good,,Several times a week,180.0,89.0,Male,1976
362,927763,5,7,Good,,Less than once a month,185.0,97.0,Male,1938
363,927771,8,Extremely happy,Good,,Once a month,181.0,63.0,Female,1984
364,927828,8,9,Very good,,2-3 times a month,164.0,63.0,Female,1972
365,927836,8,9,Very good,,Several times a week,172.0,63.0,Male,1967
366,927860,Most people can be trusted,9,Very good,,Several times a week,169.0,62.0,Female,1955
367,927894,8,8,Very good,12.0,2-3 times a month,193.0,83.0,Male,1967
368,927933,6,8,Fair,,Once a week,159.0,51.0,Female,1990
369,927959,8,9,Good,,Every day,157.0,61.0,Female,1964
370,927967,8,8,Very good,0.0,Several times a week,175.0,82.0,Male,1967
371,927983,3,8,Fair,20.0,Once a month,164.0,54.0,Female,1989
372,928002,8,8,Fair,,Several times a week,146.0,48.0,Female,1935
373,928028,8,6,Very good,10.0,Several times a week,181.0,75.0,Male,1986
374,928044,7,2,Very bad,,Every day,170.0,59.0,Male,1937
375,928060,8,8,Good,12.0,Never,168.0,95.0,Male,1985
376,928086,8,Extremely happy,Very good,,Several times a week,176.0,65.0,Female,1949
377,928094,4,8,Good,,Never,162.0,52.0,Female,1998
378,928109,8,7,Good,,Once a week,168.0,67.0,Female,1964
379,928125,3,8,Good,,2-3 times a month,183.0,87.0,Male,1968
380,928133,7,6,Bad,,Less than once a month,183.0,82.0,Male,1993
381,928167,8,7,Fair,,2-3 times a month,183.0,120.0,Male,1956
382,928175,5,Extremely happy,Fair,,Several times a week,162.0,52.0,Female,1955
383,928248,8,9,Very good,,2-3 times a month,168.0,69.0,Female,1983
384,928256,6,8,Very good,,Once a week,173.0,75.0,Male,1974
385,928280,You can't be too careful,9,Very bad,20.0,Never,148.0,65.0,Female,1953
386,928298,5,Extremely happy,Fair,,Less than once a month,163.0,,Female,1952
387,928303,5,9,Very good,,Several times a week,178.0,73.0,Male,1969
388,928311,9,6,Good,,Less than once a month,194.0,94.0,Male,1973
